date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-02-03,17:13:54,GoTracz,"Na debacie ""Czy miasto musi nas truć?"" organizowanej przez @RazemWroclaw. @ZieloniWro reprezentuje @RokickaJulia - współprzewodnicząca koła. Ola Zienkiewicz - @miastodrzew, Radek Lesisz z @alarm_smogowyDS oraz @RobertMaslak z @RazemWroclaw. Zapowiada się ciekawa dyskusja. pic.twitter.com/tfpGsjqIKQ",https://twitter.com/GoTracz/status/959822260633817088,18,6,0,"RazemWroclaw,ZieloniWro,RokickaJulia,miastodrzew,alarm_smogowyDS,RobertMaslak",
2018-02-02,19:10:48,GoTracz,"Na spotkaniu z @ObywateleRP we Wrocławiu. @Zieloni zawsze tam, gdzie trzeba. pic.twitter.com/g38gijkTVs",https://twitter.com/GoTracz/status/959489294833418240,25,4,2,"ObywateleRP,Zieloni",
2018-01-29,17:01:41,GoTracz,"Z @KossakM - współprzewodniczącym @Zieloni rozmawialiśmy dziś z szefową @Nowoczesna - @KLubnauer.Do wyborów razem nie pójdziemy, ale jesteśmy otwarci na współdziałanie w obszarach, w których mamy zbliżone stanowisko i możemy działać dla dobra Polski. pic.twitter.com/XMaAxXB0wb",https://twitter.com/GoTracz/status/958007248344764416,37,6,3,"KossakM,Zieloni,Nowoczesna,KLubnauer",
2018-01-29,11:09:23,GoTracz,"Dziś razem z @KossakM rozmawialiśmy z @barbaraanowacka o  politycznej współpracy i wyborach w 2018 i 2019 roku. Czas na progresywnych polityków i polityczki, którzy wezmą odpowiedzialność za Polskę, potrafią współpracować ze sobą oraz z obywatelkami i obywatelami! pic.twitter.com/PKmIL3sU8D",https://twitter.com/GoTracz/status/957918588425461761,22,4,5,"KossakM,barbaraanowacka",
2018-01-28,11:48:48,GoTracz,Już jesteśmy na konwencji Nasza Przyszłość! #konwencja #Zieloni #IP #naszaprzyszłość pic.twitter.com/qyVcC1wg3h,https://twitter.com/GoTracz/status/957566120264859649,27,5,1,,"#konwencja,#Zieloni,#IP,#naszaprzyszłość"
2018-01-28,09:19:16,GoTracz,"Obowiązkowa lektura na dziś: ""Polski faszyzm: oczy szeroko zamknięte"" @JHarlukowicz. Neofaszyści i rasiści od lat są obecni w przestrzeni pub. i polit. Tolerowani, a nawet wprowadzani do Sejmu, i to przed 2015, przez polityków. Potępienie ich działań jest spóźnione o ćwierć wieku pic.twitter.com/B5LBsv4moC",https://twitter.com/GoTracz/status/957528487182716928,26,7,2,JHarlukowicz,
2018-01-28,06:55:27,GoTracz,"Dzień dobry <3Trochę wieje, ale to może nie będziecie mieć smogu we Wrocławiu.Ja w drodze do Warszawy na spotkanie w sprawie dalszej współpracy w ramach ""Ratujmy kobiety"" i może nie tylko...Miłej niedzieli! pic.twitter.com/0yacelXWwD",https://twitter.com/GoTracz/status/957492294973829121,18,2,1,,
2018-01-27,20:28:21,GoTracz,Herzliche Glückwünsche von der Partei die Grünen! https://twitter.com/Die_Gruenen/status/957241647754104833 …,https://twitter.com/GoTracz/status/957334483086258177,5,2,0,,
2018-01-24,11:38:50,GoTracz,Dziś na pierwszej stronie @gaz_wroclawska materiał poświęcony obniżkom płac netto na Uni Wro i in. uczelniach. To kolejny tekst po interwencji @arystobeles z zarządu @ZieloniWro i wspieraniu przez nas pracowników w nagłaśnianiu sprawy.Będziemy dalej sprawę monitorować i pomagać pic.twitter.com/lCskjdXD72,https://twitter.com/GoTracz/status/956114062554882048,11,4,0,"gaz_wroclawska,arystobeles,ZieloniWro",
2018-01-23,21:59:20,GoTracz,Razem ze współprzewodniczącym @Zieloni @KossakM już za chwilę rozpoczynamy rozmowę i drinka u Jej Perfekcyjność 💚🌈🍷☕Zachęcamy do oglądania online od godz. 22:00 na  http://facebook.com/JejPerfekcyjnosc … pic.twitter.com/7JCo6eZiC3,https://twitter.com/GoTracz/status/955907825645113344,9,0,0,"Zieloni,KossakM",
