date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-09-02,13:12:06,KatarzynaObara,"@SebastianLorenc @pkukiz @KornelMorawiec1 @kmujazdowski @Inicjatywa2030 @MurzynskiMarcin @BezpartyjnyWroc @tfurca Tomek, skończ z demagogią proszę i przeczytaj raz jeszcze mój poprzedni wpis, a jednocześnie odpowiedz sobie na pytanie: jaki Ty sam masz wpływ na to kto Cię lubi i z jakiego powodu ? Poparcie ludzi spoza Wrocławia w wyborach we Wrocławiu nie ma dla mnie znaczenia. Serdeczności!",https://twitter.com/KatarzynaObara/status/1036210153002098690,1,0,0,"tfurca,BezpartyjnyWroc,MurzynskiMarcin,Inicjatywa2030,kmujazdowski,KornelMorawiec1,pkukiz,SebastianLorenc",
2018-09-02,00:45:34,KatarzynaObara,"@SebastianLorenc @pkukiz @KornelMorawiec1 @BezpartyjnyWroc @kmujazdowski @Inicjatywa2030 @tfurca @MurzynskiMarcin Tomek, przecież nie ma takiego poparcia... nie zabiegam o nie, zapewniam Cię... moim honorowym komitetem poparcia są Wrocławianie...koniec, kropka. Reszta jest milczeniem.",https://twitter.com/KatarzynaObara/status/1036022278876745729,0,0,1,"MurzynskiMarcin,tfurca,Inicjatywa2030,kmujazdowski,BezpartyjnyWroc,KornelMorawiec1,pkukiz,SebastianLorenc",
2018-08-31,23:10:58,KatarzynaObara,@SebastianLorenc @pkukiz @KornelMorawiec1 @BezpartyjnyWroc @kmujazdowski @MurzynskiMarcin @Inicjatywa2030 @tfurca Przyłóż ucho gdzie indziej proszę ...,https://twitter.com/KatarzynaObara/status/1035636085815164928,1,0,1,"tfurca,Inicjatywa2030,MurzynskiMarcin,kmujazdowski,BezpartyjnyWroc,KornelMorawiec1,pkukiz,SebastianLorenc",
2018-08-30,23:24:34,KatarzynaObara,@SebastianLorenc @pkukiz @KornelMorawiec1 @BezpartyjnyWroc @kmujazdowski @MurzynskiMarcin @Inicjatywa2030 @tfurca Tomek! Co Ty opowiadasz? Kto Ci to opowiada ? ...,https://twitter.com/KatarzynaObara/status/1035277121474707458,0,0,1,"tfurca,Inicjatywa2030,MurzynskiMarcin,kmujazdowski,BezpartyjnyWroc,KornelMorawiec1,pkukiz,SebastianLorenc",
2018-08-25,12:04:30,KatarzynaObara, https://www.facebook.com/540772266057187/posts/1349138111887261# ….,https://twitter.com/KatarzynaObara/status/1033294037019750401,0,0,0,,
2018-08-24,08:48:56,KatarzynaObara,"@PHalaczkiewicz @lukaszmejza @Katarzyna @PrzybylskiCez @RobertRaczyski1 @MichalakJerzy @MarcinTorz @JHarlukowicz Harry, ja wczoraj przecież potwierdziłam :-) ale, jeśli chcesz, Tobie mogę potwierdzać codziennie :-) do 21.10 :-)",https://twitter.com/KatarzynaObara/status/1032882432628977664,1,0,1,"JHarlukowicz,MarcinTorz,MichalakJerzy,RobertRaczyski1,PrzybylskiCez,Katarzyna,lukaszmejza,PHalaczkiewicz",
2018-08-24,08:36:55,KatarzynaObara,@PHalaczkiewicz @lukaszmejza @Katarzyna @PrzybylskiCez @RobertRaczyski1 @MichalakJerzy @MarcinTorz @JHarlukowicz @culturovo Ależ moje potwierdzenie było wczoraj. Do dziś nic się nie zmieniło :-),https://twitter.com/KatarzynaObara/status/1032879406421880832,1,0,0,"culturovo,JHarlukowicz,MarcinTorz,MichalakJerzy,RobertRaczyski1,PrzybylskiCez,Katarzyna,lukaszmejza,PHalaczkiewicz",
2018-08-24,08:28:53,KatarzynaObara,"@Katarzyna @PrzybylskiCez @RobertRaczyski1 @MichalakJerzy @MarcinTorz @JHarlukowicz Mój Nauczyciel Dziennikarstwa Leszek Budrewicz mawiał: sprawdź w 3 miejscach czy info rzetelne. Koledzy, podpowiadam więc: @PHalaczkiewicz - koordynator krajowy, @lukaszmejza - rzecznik krajowy, a stosowne oświadczenie było wczoraj. Miłego dnia :-)",https://twitter.com/KatarzynaObara/status/1032877388273733633,0,0,2,"JHarlukowicz,MarcinTorz,MichalakJerzy,RobertRaczyski1,PrzybylskiCez,Katarzyna,lukaszmejza,PHalaczkiewicz",
2018-08-24,08:09:17,KatarzynaObara,"@Katarzyna @PrzybylskiCez @RobertRaczyski1 @MichalakJerzy @MarcinTorz @JHarlukowicz Panowie, jesteście dziennikarzami , zadzwońcie do rzecznika @Bezpartyjnych, @lukaszmejza to rozwieje Wasze wątpliwości.",https://twitter.com/KatarzynaObara/status/1032872455742910464,0,0,1,"JHarlukowicz,MarcinTorz,MichalakJerzy,RobertRaczyski1,PrzybylskiCez,Katarzyna,lukaszmejza",
2018-08-24,07:24:00,KatarzynaObara,@PrzybylskiCez @RobertRaczyski1 @MichalakJerzy @MarcinTorz @JHarlukowicz Prawda jest zawsze najciekawsza :-) wzajemnie Harry :-),https://twitter.com/KatarzynaObara/status/1032861056941666304,1,0,0,"JHarlukowicz,MarcinTorz,MichalakJerzy,RobertRaczyski1,PrzybylskiCez",
