date,time,username,tweet,link,likes,retweets,replies,mentions,hashtags
2018-05-29,20:48:59,MichalakJerzy,"Maślice potrzebują krytej pływalni, uporządkowania przestrzennego, ale przede wszystkim komunikacji z prawdziwego zdarzenia. Tramwaj na Maślice musi powstać w kolejnej kadencji. Nie powinno się tego projektować przez 2,5 roku. Będę o to zabiegał. pic.twitter.com/ZU9ttmY4fR",https://twitter.com/MichalakJerzy/status/1001535892417282048,22,1,2,,
2018-05-28,22:09:34,MichalakJerzy,"@UMrozowska Ula, zgadzam się.",https://twitter.com/MichalakJerzy/status/1001193784607170563,0,0,2,UMrozowska,
2018-05-28,20:48:47,MichalakJerzy,O torowiskach rozmawialiśmy w ubiegłym tygodniu. Dziś o ich fatalnym stanie pisze @DIEZEIT. Temat nagłośniony przez @AkcjaMiasto https://www.zeit.de/amp/mobilitaet/2018-05/wroclaw-polen-stau-autoverkehr-strassenbahn-luftverschmutzung?page=1&__twitter_impression=true …,https://twitter.com/MichalakJerzy/status/1001173457495871488,11,0,0,"DIEZEIT,AkcjaMiasto",
2018-05-28,19:12:57,MichalakJerzy,"Proponuję wyraźnie zredukować finansowanie wielkich imprez. Czas na oddolne, autentyczne i lokalne wydarzenia. Chwalmy się tym, co mamy, ale budujmy trwały zysk dla Wrocławia. pic.twitter.com/Pdgs1oPu1y",https://twitter.com/MichalakJerzy/status/1001149340851851265,16,1,4,,
2018-05-28,18:41:12,MichalakJerzy,"@PiotrLech1 @MarcinTorz Jedna lista samorządowa, niezależna, na Dolnym Śląsku i we Wrocławiu, bez afiliacji partyjnych. Jestem za.",https://twitter.com/MichalakJerzy/status/1001141350547558402,1,0,1,"MarcinTorz,PiotrLech1",
2018-05-28,17:06:13,MichalakJerzy,"@DRSamorzadowy @JHarlukowicz Wydaje się, że nie lubią gdy rozmawia się z nimi z pozycji siły. Vide wywiad @dutkiewiczrafal w @gaz_wroclawska",https://twitter.com/MichalakJerzy/status/1001117444403073024,0,0,1,"JHarlukowicz,DRSamorzadowy,dutkiewiczrafal,gaz_wroclawska",
2018-05-28,16:53:38,MichalakJerzy,Bardzo szanuję Koleżanki i Kolegów z @DRSamorzadowy i cenię ich niezależność gotowość do obrony tej niezależności.,https://twitter.com/MichalakJerzy/status/1001114279163113472,3,0,1,DRSamorzadowy,
2018-05-28,11:16:59,MichalakJerzy,@tfurca Pociąg @KolejeD polecam.,https://twitter.com/MichalakJerzy/status/1001029556587913221,4,0,2,"tfurca,KolejeD",
2018-05-28,06:35:20,MichalakJerzy,"Chcemy, żeby pociągi wróciły na Dworzec Świebodzki. Kolej może być alternatywą dla zakorkowanego Wrocławia, dla Maślic, Leśnicy czy Pracz Odrzańskich. Miasto powinno być liderem takiego projektu #30dniprogramu #Wroclaw pic.twitter.com/HkC6e8uE4J",https://twitter.com/MichalakJerzy/status/1000958677967425536,28,1,1,,"#30dniprogramu,#Wroclaw"
2018-05-27,15:57:51,MichalakJerzy,Wielkie gratulacje dla piłkarskiej @MiedzLegnica za awans do ekstraklasy. W przyszłym sezonie dodatkowe derby Dolnego Śląska. Pięknie!,https://twitter.com/MichalakJerzy/status/1000737851632443392,7,0,0,MiedzLegnica,
2018-05-26,16:52:25,MichalakJerzy,Na Psim Polu też dużo rozmów o rozsądnej zmianie #Wroclaw #1000wrocławian #30dniprogramu pic.twitter.com/0k36ASklel,https://twitter.com/MichalakJerzy/status/1000389197289676801,19,1,1,,"#Wroclaw,#1000wrocławian,#30dniprogramu"
2018-05-26,13:26:56,MichalakJerzy,"Komunikacja, komunikacja, komunikacja #1000wrocławian pic.twitter.com/DtkX6ew53w",https://twitter.com/MichalakJerzy/status/1000337483283030016,18,0,0,,#1000wrocławian
2018-05-26,12:59:39,MichalakJerzy,Mała ławka ma osiedlu. Wielka sprawa #1000wrocławian pic.twitter.com/IhjWfqyucm,https://twitter.com/MichalakJerzy/status/1000330617811275776,15,0,1,,#1000wrocławian
2018-05-26,12:46:35,MichalakJerzy,"Rozmowy zaczęliśmy dzisiaj w Leśnicy. Lokalne problemy podobne do tych sprzed 10 lat, gdy byłem jeszcze w Radzie Osiedla #1000wrocławian pic.twitter.com/PX1qTromAY",https://twitter.com/MichalakJerzy/status/1000327330122944514,20,1,2,,#1000wrocławian
2018-05-26,12:06:41,MichalakJerzy,"Tak pięknego dnia nie można było zacząć inaczej. Wszystkim Mamom - za troskę, miłość i oddanie - wszystkiego co dobre i piękne! pic.twitter.com/bm24lIm7uP",https://twitter.com/MichalakJerzy/status/1000317288342532097,14,0,0,,
2018-05-26,10:42:44,MichalakJerzy,"Uważam, że dobre zarządzanie zaczyna się od dbania o małe, najbardziej podstawowe rzeczy. Dlatego będę kandydował na prezydenta Wrocławia. Mamy konkretne propozycje. Przez miesiąc chcę do nich przekonać rozmowie #1000wrocławian. Wrocław potrzebuje rozsądnej zmiany #Wroclaw pic.twitter.com/AAa7Iilods",https://twitter.com/MichalakJerzy/status/1000296161364803584,18,2,0,,"#1000wrocławian,#Wroclaw"
2018-05-26,10:42:23,MichalakJerzy,"@GeoCzerw @DawidGoliat2010 Dziękuję przedstawicielom partii Wolność za rzetelność i dostrzeżenie, że na pozostałych odcinkach WOW prace trwają.",https://twitter.com/MichalakJerzy/status/1000296076740628480,0,0,1,"DawidGoliat2010,GeoCzerw",
2018-05-25,23:46:16,MichalakJerzy,"@RO_Maslice To ja składam w takim razie twardą obietnicę. Jeśli zostanę prezydentem Wrocławia, w 2021 oddamy do użytku wrocławskiego Delfinka na Maślicach. Pozdrowienia dla Radnych.",https://twitter.com/MichalakJerzy/status/1000130956936843264,4,0,1,RO_Maslice,
2018-05-25,20:23:54,MichalakJerzy,"Udało nam się w województwie, uda się w mieście. W przyszłej kadencji chcemy zbudować trzy Wrocławskie Delfinki. Róbmy to, co realne i potrzebne. W pierwszej kolejności na Zakrzowie, przy SP 44, w drugiej na Hubach i Maślicach. Da się i trzeba to zrobić #30dniprogramu #Wroclaw pic.twitter.com/lwwDwCaQcD",https://twitter.com/MichalakJerzy/status/1000080029127081984,20,2,1,,"#30dniprogramu,#Wroclaw"
2018-05-25,16:27:50,MichalakJerzy,"@_Wolnosc @RobGrzechnik @SutrykJacek @RozeckaPL @JarosMichal @kmujazdowski @DawidGoliat2010 Proszę dokładnie wczytać się w liczy, spojrzeć na WPI. Priorytety inwestycyjne zakładają jednoczesne stopniowe oddłużanie.",https://twitter.com/MichalakJerzy/status/1000020621613568000,0,0,1,"DawidGoliat2010,kmujazdowski,JarosMichal,RozeckaPL,SutrykJacek,RobGrzechnik,_Wolnosc",
2018-05-25,12:40:42,MichalakJerzy,@_Wolnosc @RobGrzechnik @SutrykJacek @RozeckaPL @JarosMichal @kmujazdowski @DawidGoliat2010 Proszę: http://wroclawprzyszlosci.pl/budzet-wroclawia/ …,https://twitter.com/MichalakJerzy/status/999963462108372992,1,0,2,"DawidGoliat2010,kmujazdowski,JarosMichal,RozeckaPL,SutrykJacek,RobGrzechnik,_Wolnosc",
2018-05-24,22:07:17,MichalakJerzy,"Wydaje się, że radni osiedlowi i aktywiści zbudowali już powszechne przekonanie o tym, że w końcu trzeba to zrobić. Tym bardziej warto to jednak głośno powtarzać. W kolejnej kadencji musi powstać linia tramwajowa na Jagodno #30dniprogramu #Wroclaw #niebieskitramwajnajagodno pic.twitter.com/T1OEszxyK1",https://twitter.com/MichalakJerzy/status/999743658705543168,19,4,2,,"#30dniprogramu,#Wroclaw,#niebieskitramwajnajagodno"
2018-05-24,14:43:34,MichalakJerzy,@kmujazdowski @KatarzynaObara @SutrykJacek @dutkiewiczrafal @RadioRodzina @TomaszPajaczek @ESKA_INFO @wyborczawroclaw @gaz_wroclawska @PAPinformacje @tuWroclaw @FaktyTVP3 @AkcjaMiasto @tfurca Poparłem.,https://twitter.com/MichalakJerzy/status/999631994328936448,2,0,0,"tfurca,AkcjaMiasto,FaktyTVP3,tuWroclaw,PAPinformacje,gaz_wroclawska,wyborczawroclaw,ESKA_INFO,TomaszPajaczek,RadioRodzina,dutkiewiczrafal,SutrykJacek,KatarzynaObara,kmujazdowski",
2018-05-23,17:32:13,MichalakJerzy,"Warto postulować. Warto jednak pamiętać, że potrzeba około 70 mln zł. pic.twitter.com/dMvCfFauAf",https://twitter.com/MichalakJerzy/status/999312049191706625,18,1,4,,
2018-05-23,13:03:26,MichalakJerzy,"Dzisiejszy dzień zapamiętam z dwóch powodów. Po pierwsze, zdecydowaną większością głosów dostaliśmy ostatnie absolutorium w tej kadencji. Wszystkim Koleżankom i Kolegom z Sejmiku dziękuję. Po drugie, zamykają Jacka i Agatkę. Drugich takich naleśników z serem we Wrocławiu nie ma!",https://twitter.com/MichalakJerzy/status/999244409353986048,18,1,0,,
